always_blocks,and_count,bind_count,case_count,dff_count,estimated_depth,if_count,instance_count,module_name,module_type,mux_count,not_count,num_cells,num_wires,or_count,plus_count,signal_count,term_count,xor_count
3,0,4,5,2,12,10,1,triangular_wave,Counter,2,0,8,12,0,2,5,5,0
3,0,3,5,,6,10,1,mux4,Combinational,,0,1,13,0,0,13,13,0
3,11,5,5,,11,10,1,four_to_one,Combinational,,6,18,26,3,0,9,9,0
3,0,11,5,,9,10,1,Hyperbolic_Functions,Arithmetic,,0,,,0,2,8,12,0
3,0,13,5,2,10,10,1,io_config,Sequential,3,0,5,21,0,0,21,21,0
3,0,13,5,,9,10,2,mux_256_to_1,Arithmetic,,0,9,10,0,1,6,15,0
3,0,37,5,,9,10,1,second_largest,Combinational,9,0,16,22,0,0,16,42,0
3,9,7,5,,10,10,1,memory_protection_blocks,Combinational,1,0,5,8,0,0,4,9,0
3,1,5,5,,10,10,1,led_controller,Sequential,1,1,7,16,1,0,11,11,0
3,0,2,5,2,11,10,1,flip_flop,Sequential,4,1,7,11,0,0,6,6,0
3,2,13,5,2,12,10,1,barrier_module,Memory,5,1,19,27,2,0,16,18,1
3,0,173,5,,18,10,1,DCT,Arithmetic,,0,,,0,8,4,174,0
3,1,2,5,1,9,10,1,SNPS_CLOCK_GATE_HIGH_Up_counter_COUNTER_WIDTH4,Counter,1,0,3,8,0,0,6,6,0
3,0,8,5,,11,10,1,add_sub,Arithmetic,4,0,13,17,1,3,6,12,0
3,0,2,5,,9,10,1,synchronizer_ff,Combinational,,1,0,4,0,0,5,5,0
3,0,82,5,,10,10,10,add_sub_split,Arithmetic,1,0,2,6,0,4,85,85,0
3,0,1,5,,6,10,1,mux_2to1,Combinational,1,0,1,4,0,0,4,4,0
3,0,3,5,,8,10,1,adder_8bit,Combinational,,0,1,4,0,1,4,5,0
3,18,5,5,1,11,10,1,min_value,Counter,1,0,5,11,0,1,5,9,0
3,0,1,5,,10,10,1,binary_counter,Counter,,0,2,5,0,1,3,3,0
3,0,2,5,3,12,10,1,dual_port_RAM,Memory,4,1,10,16,0,0,9,9,0
3,12,5,5,,7,10,1,four_bit_adder,Combinational,,0,23,13,3,0,8,8,8
3,0,3,5,,7,10,1,my_module,Combinational,,0,,,0,0,8,8,0
3,0,1,5,,11,10,1,binary_to_gray,Sequential,,0,8,5,0,0,4,4,7
3,0,1,5,,12,10,1,up_down_counter,Counter,,0,,,1,1,4,4,0
3,0,1,5,1,11,10,1,counter,Counter,2,0,5,7,0,1,3,3,0
3,1,5,5,,7,10,1,combinational_circuit,Combinational,2,2,7,10,1,0,7,7,1
